pickup_borough,pickup_zone_name,route_borough,route_zone_name,no_trips
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Green-Wood Cemetery,13
Manhattan,SoHo,Manhattan-Queens,SoHo-Hollis,3
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Manhattanville,281
Manhattan,SoHo,Manhattan-Queens,SoHo-Breezy Point/Fort Tilden/Riis Beach,2
Manhattan,SoHo,Manhattan-Queens,SoHo-Astoria Park,2
Manhattan,SoHo,Manhattan-Queens,SoHo-East Elmhurst,67
Manhattan,SoHo,Manhattan-Bronx,SoHo-Parkchester,27
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Williamsburg (South Side),4461
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Midwood,125
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Lincoln Square West,2352
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Oakwood,2
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Flatbush/Ditmas Park,614
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Washington Heights North,459
Manhattan,SoHo,Manhattan-Queens,SoHo-Laurelton,6
Manhattan,SoHo,Manhattan-Queens,SoHo-Richmond Hill,54
Manhattan,SoHo,Manhattan-Manhattan,SoHo-TriBeCa/Civic Center,33854
Manhattan,SoHo,Manhattan-Bronx,SoHo-Bedford Park,57
Manhattan,SoHo,Manhattan-Bronx,SoHo-Pelham Bay Park,1
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Columbia Street,310
Manhattan,SoHo,Manhattan-Queens,SoHo-East Flushing,22
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Midtown North,9787
Manhattan,SoHo,Manhattan-Bronx,SoHo-Norwood,12
Manhattan,SoHo,Manhattan-Bronx,SoHo-Van Nest/Morris Park,15
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Grymes Hill/Clifton,4
Manhattan,SoHo,Manhattan-Queens,SoHo-Auburndale,10
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Highbridge Park,29
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Bensonhurst West,132
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-East Flatbush/Farragut,59
Manhattan,SoHo,Manhattan-Queens,SoHo-Woodside,257
