pickup_borough,pickup_date,pickup_weekday_name,pickup_hour,no_of_trips
EWR,18/4/16,Monday,8,1
Bronx,31/3/16,Thursday,18,12
Bronx,9/6/16,Thursday,7,15
Bronx,22/4/16,Friday,8,18
Bronx,20/2/16,Saturday,9,14
Bronx,20/1/16,Wednesday,20,9
Bronx,7/4/16,Thursday,23,14
Bronx,2/5/16,Monday,9,9
EWR,24/3/16,Thursday,4,2
Bronx,1/2/16,Monday,16,20
Bronx,9/2/16,Tuesday,11,5
EWR,21/6/16,Tuesday,11,1
Staten Island,5/2/16,Friday,8,2
Bronx,15/2/16,Monday,23,19
Staten Island,5/3/16,Saturday,20,1
Bronx,27/3/16,Sunday,12,8
Bronx,12/5/16,Thursday,23,22
Staten Island,15/5/16,Sunday,2,1
Bronx,13/6/16,Monday,12,10
Bronx,20/1/16,Wednesday,19,9
Bronx,16/1/16,Saturday,2,22
Staten Island,6/4/16,Wednesday,7,2
EWR,24/2/16,Wednesday,16,2
EWR,18/5/16,Wednesday,9,1
EWR,22/6/16,Wednesday,10,2
Bronx,2/4/16,Saturday,14,8
EWR,15/1/16,Friday,14,3
Staten Island,8/6/16,Wednesday,8,6
Bronx,20/5/16,Friday,16,18
EWR,9/1/16,Saturday,14,3
Bronx,22/6/16,Wednesday,5,12
EWR,30/5/16,Monday,4,2
Staten Island,16/6/16,Thursday,20,1
EWR,3/4/16,Sunday,15,6
Staten Island,25/6/16,Saturday,9,3
EWR,16/4/16,Saturday,21,2
EWR,12/2/16,Friday,5,2
Staten Island,30/3/16,Wednesday,22,2
Bronx,14/5/16,Saturday,4,23
Bronx,21/3/16,Monday,3,7
Staten Island,13/2/16,Saturday,14,1
EWR,3/1/16,Sunday,6,1
Staten Island,27/6/16,Monday,3,1
EWR,23/4/16,Saturday,7,3
Bronx,17/2/16,Wednesday,20,6
EWR,5/6/16,Sunday,6,3
Bronx,15/1/16,Friday,9,11
Bronx,13/5/16,Friday,18,21
Bronx,27/2/16,Saturday,2,26
Bronx,20/4/16,Wednesday,16,22
EWR,23/3/16,Wednesday,20,1
Staten Island,13/6/16,Monday,21,4
Bronx,7/2/16,Sunday,12,5
Bronx,10/4/16,Sunday,3,25
EWR,2/1/16,Saturday,9,1
Bronx,27/6/16,Monday,10,14
EWR,8/1/16,Friday,18,1
EWR,3/6/16,Friday,15,4
Bronx,15/4/16,Friday,10,13
Bronx,11/2/16,Thursday,4,9
EWR,1/2/16,Monday,11,1
EWR,29/1/16,Friday,17,2
Bronx,6/1/16,Wednesday,3,9
Staten Island,17/6/16,Friday,6,3
Staten Island,23/4/16,Saturday,12,2
Bronx,4/1/16,Monday,6,7
